,discente,unidade,nota,media_final,aprovado,reposicao,reprovadoporfalta,numero_total_faltas,descricao,nivel_ensino,id_turma,codigo,disciplina,docente,semestre,reprovadomatematicamente
152545,aff5745e9d2415cccaa803e95a41fcb0,1,8.0,7.7,True,False,False,2,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152546,aff5745e9d2415cccaa803e95a41fcb0,2,8.4,7.7,True,False,False,2,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152547,aff5745e9d2415cccaa803e95a41fcb0,3,6.6,7.7,True,False,False,2,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152554,9f228c8e428905c379140da73a893410,1,4.5,6.4,True,False,False,14,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152555,9f228c8e428905c379140da73a893410,2,7.6,6.4,True,False,False,14,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152556,9f228c8e428905c379140da73a893410,3,1.8,6.4,True,False,False,14,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152560,01eff5e5e9a415965a3f0a22d9618e20,1,10.0,9.7,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152561,01eff5e5e9a415965a3f0a22d9618e20,2,9.8,9.7,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152562,01eff5e5e9a415965a3f0a22d9618e20,3,9.3,9.7,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152563,1924bfaba1c60963efbd74d98f62b0e5,1,10.0,8.5,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152564,1924bfaba1c60963efbd74d98f62b0e5,2,6.5,8.5,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152565,1924bfaba1c60963efbd74d98f62b0e5,3,9.0,8.5,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152566,b459ebb90e0a3fcdb6547dc6e66a13f2,1,10.0,7.2,True,False,False,0,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152567,b459ebb90e0a3fcdb6547dc6e66a13f2,2,6.8,7.2,True,False,False,0,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152568,b459ebb90e0a3fcdb6547dc6e66a13f2,3,4.8,7.2,True,False,False,0,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
