,id_turma,discente,docente,unidade,nota,media_final,numero_total_faltas,aprovado,reposicao,reprovadoporfalta,semestre
152545,7902,0.49037199940054177,1.0,0.0,0.8,0.77,0.029411764705882353,1.0,0.0,0.0,2018.1
152546,7902,0.49037199940054177,1.0,0.5,0.8400000000000001,0.77,0.029411764705882353,1.0,0.0,0.0,2018.1
152547,7902,0.49037199940054177,1.0,1.0,0.6599999999999999,0.77,0.029411764705882353,1.0,0.0,0.0,2018.1
152554,7902,0.5080215564192325,1.0,0.0,0.45,0.64,0.20588235294117646,1.0,0.0,0.0,2018.1
152555,7902,0.5080215564192325,1.0,0.5,0.76,0.64,0.20588235294117646,1.0,0.0,0.0,2018.1
152556,7902,0.5080215564192325,1.0,1.0,0.18,0.64,0.20588235294117646,1.0,0.0,0.0,2018.1
152560,7902,0.47622188727700826,1.0,0.0,1.0,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1
152561,7902,0.47622188727700826,1.0,0.5,0.9800000000000001,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1
152562,7902,0.47622188727700826,1.0,1.0,0.93,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1
152563,7902,0.10437707657677876,1.0,0.0,1.0,0.85,0.2647058823529412,1.0,0.0,0.0,2018.1
152564,7902,0.10437707657677876,1.0,0.5,0.65,0.85,0.2647058823529412,1.0,0.0,0.0,2018.1
152565,7902,0.10437707657677876,1.0,1.0,0.9,0.85,0.2647058823529412,1.0,0.0,0.0,2018.1
152566,7902,0.3675022396916847,1.0,0.0,1.0,0.72,0.0,1.0,0.0,0.0,2018.1
152567,7902,0.3675022396916847,1.0,0.5,0.6799999999999999,0.72,0.0,1.0,0.0,0.0,2018.1
152568,7902,0.3675022396916847,1.0,1.0,0.48,0.72,0.0,1.0,0.0,0.0,2018.1
152569,7902,0.5207216401078263,1.0,0.0,1.0,0.73,0.029411764705882353,1.0,0.0,0.0,2018.1
152570,7902,0.5207216401078263,1.0,0.5,0.6799999999999999,0.73,0.029411764705882353,1.0,0.0,0.0,2018.1
152571,7902,0.5207216401078263,1.0,1.0,0.51,0.73,0.029411764705882353,1.0,0.0,0.0,2018.1
152572,7902,0.5166355684488886,1.0,0.0,0.65,0.6599999999999999,0.10294117647058823,1.0,0.0,0.0,2018.1
152573,7902,0.5166355684488886,1.0,0.5,0.62,0.6599999999999999,0.10294117647058823,1.0,0.0,0.0,2018.1
152574,7902,0.5166355684488886,1.0,1.0,0.71,0.6599999999999999,0.10294117647058823,1.0,0.0,0.0,2018.1
152575,7902,0.6599692850882473,1.0,0.0,1.0,0.85,0.058823529411764705,1.0,0.0,0.0,2018.1
152576,7902,0.6599692850882473,1.0,0.5,1.0,0.85,0.058823529411764705,1.0,0.0,0.0,2018.1
152577,7902,0.6599692850882473,1.0,1.0,0.54,0.85,0.058823529411764705,1.0,0.0,0.0,2018.1
152581,7902,0.09474167203786692,1.0,0.0,0.78,0.5599999999999999,0.25,1.0,0.0,0.0,2018.1
152582,7902,0.09474167203786692,1.0,0.5,0.41,0.5599999999999999,0.25,1.0,0.0,0.0,2018.1
152583,7902,0.09474167203786692,1.0,1.0,0.49000000000000005,0.5599999999999999,0.25,1.0,0.0,0.0,2018.1
152590,7902,0.8513266384732411,1.0,0.0,1.0,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1
152591,7902,0.8513266384732411,1.0,0.5,1.0,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1
152592,7902,0.8513266384732411,1.0,1.0,0.9,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1
152593,7902,0.5836667731242134,1.0,0.0,0.8400000000000001,0.8800000000000001,0.0,1.0,0.0,0.0,2018.1
152594,7902,0.5836667731242134,1.0,0.5,0.9800000000000001,0.8800000000000001,0.0,1.0,0.0,0.0,2018.1
152595,7902,0.5836667731242134,1.0,1.0,0.8099999999999999,0.8800000000000001,0.0,1.0,0.0,0.0,2018.1
152596,7902,0.05433825405035116,1.0,0.0,0.32999999999999996,0.52,0.07352941176470588,1.0,0.0,0.0,2018.1
152597,7902,0.05433825405035116,1.0,0.5,0.25,0.52,0.07352941176470588,1.0,0.0,0.0,2018.1
152598,7902,0.05433825405035116,1.0,1.0,0.32999999999999996,0.52,0.07352941176470588,1.0,0.0,0.0,2018.1
152599,7902,0.9067634645805669,1.0,0.0,0.6,0.5,0.029411764705882353,1.0,0.0,0.0,2018.1
152600,7902,0.9067634645805669,1.0,0.5,0.42000000000000004,0.5,0.029411764705882353,1.0,0.0,0.0,2018.1
152601,7902,0.9067634645805669,1.0,1.0,0.48,0.5,0.029411764705882353,1.0,0.0,0.0,2018.1
152605,7902,0.9399853823361227,1.0,0.0,0.45,0.72,0.14705882352941177,1.0,0.0,0.0,2018.1
152606,7902,0.9399853823361227,1.0,0.5,1.0,0.72,0.14705882352941177,1.0,0.0,0.0,2018.1
152607,7902,0.9399853823361227,1.0,1.0,0.7,0.72,0.14705882352941177,1.0,0.0,0.0,2018.1
152611,7902,0.15209941913586877,1.0,0.0,1.0,0.86,0.0,1.0,0.0,0.0,2018.1
152612,7902,0.15209941913586877,1.0,0.5,0.9800000000000001,0.86,0.0,1.0,0.0,0.0,2018.1
152613,7902,0.15209941913586877,1.0,1.0,0.6,0.86,0.0,1.0,0.0,0.0,2018.1
152614,7902,0.45425721803335595,1.0,0.0,1.0,0.97,0.058823529411764705,1.0,0.0,0.0,2018.1
152615,7902,0.45425721803335595,1.0,0.5,1.0,0.97,0.058823529411764705,1.0,0.0,0.0,2018.1
152616,7902,0.45425721803335595,1.0,1.0,0.9,0.97,0.058823529411764705,1.0,0.0,0.0,2018.1
152617,7902,0.6911754552464666,1.0,0.0,0.8099999999999999,0.7,0.11764705882352941,1.0,0.0,0.0,2018.1
152618,7902,0.6911754552464666,1.0,0.5,0.55,0.7,0.11764705882352941,1.0,0.0,0.0,2018.1
152619,7902,0.6911754552464666,1.0,1.0,0.73,0.7,0.11764705882352941,1.0,0.0,0.0,2018.1
152629,7902,0.7214188624647618,1.0,0.0,0.37,0.61,0.17647058823529413,1.0,0.0,0.0,2018.1
152630,7902,0.7214188624647618,1.0,0.5,0.22999999999999998,0.61,0.17647058823529413,1.0,0.0,0.0,2018.1
152631,7902,0.7214188624647618,1.0,1.0,0.45999999999999996,0.61,0.17647058823529413,1.0,0.0,0.0,2018.1
152635,7902,0.00559946497407929,1.0,0.0,0.67,0.76,0.14705882352941177,1.0,0.0,0.0,2018.1
152636,7902,0.00559946497407929,1.0,0.5,0.62,0.76,0.14705882352941177,1.0,0.0,0.0,2018.1
152637,7902,0.00559946497407929,1.0,1.0,0.2,0.76,0.14705882352941177,1.0,0.0,0.0,2018.1
152638,7902,0.9387546128398797,1.0,0.0,1.0,0.74,0.16176470588235295,1.0,0.0,0.0,2018.1
152639,7902,0.9387546128398797,1.0,0.5,0.37,0.74,0.16176470588235295,1.0,0.0,0.0,2018.1
152640,7902,0.9387546128398797,1.0,1.0,0.8400000000000001,0.74,0.16176470588235295,1.0,0.0,0.0,2018.1
152641,7902,0.2468127395031451,1.0,0.0,1.0,1.0,0.04411764705882353,1.0,0.0,0.0,2018.1
152642,7902,0.2468127395031451,1.0,0.5,1.0,1.0,0.04411764705882353,1.0,0.0,0.0,2018.1
152643,7902,0.2468127395031451,1.0,1.0,1.0,1.0,0.04411764705882353,1.0,0.0,0.0,2018.1
152644,7902,0.5777963319920832,1.0,0.0,1.0,0.99,0.2647058823529412,1.0,0.0,0.0,2018.1
152645,7902,0.5777963319920832,1.0,0.5,0.96,0.99,0.2647058823529412,1.0,0.0,0.0,2018.1
152646,7902,0.5777963319920832,1.0,1.0,1.0,0.99,0.2647058823529412,1.0,0.0,0.0,2018.1
152647,7902,0.8551061087857814,1.0,0.0,0.9099999999999999,0.8800000000000001,0.1323529411764706,1.0,0.0,0.0,2018.1
152648,7902,0.8551061087857814,1.0,0.5,1.0,0.8800000000000001,0.1323529411764706,1.0,0.0,0.0,2018.1
152649,7902,0.8551061087857814,1.0,1.0,0.72,0.8800000000000001,0.1323529411764706,1.0,0.0,0.0,2018.1
152656,7902,0.15177490988713446,1.0,0.0,0.42000000000000004,0.5,0.16176470588235295,1.0,0.0,0.0,2018.1
152657,7902,0.15177490988713446,1.0,0.5,0.32999999999999996,0.5,0.16176470588235295,1.0,0.0,0.0,2018.1
152658,7902,0.15177490988713446,1.0,1.0,0.22999999999999998,0.5,0.16176470588235295,1.0,0.0,0.0,2018.1
152659,7902,0.18143363663467638,1.0,0.0,0.26,0.5,0.11764705882352941,1.0,0.0,0.0,2018.1
152660,7902,0.18143363663467638,1.0,0.5,0.51,0.5,0.11764705882352941,1.0,0.0,0.0,2018.1
152661,7902,0.18143363663467638,1.0,1.0,0.49000000000000005,0.5,0.11764705882352941,1.0,0.0,0.0,2018.1
152662,7902,0.5218655888831595,1.0,0.0,1.0,0.6900000000000001,0.0,1.0,0.0,0.0,2018.1
152663,7902,0.5218655888831595,1.0,0.5,0.64,0.6900000000000001,0.0,1.0,0.0,0.0,2018.1
152664,7902,0.5218655888831595,1.0,1.0,0.42000000000000004,0.6900000000000001,0.0,1.0,0.0,0.0,2018.1
152665,7902,0.3977451653529423,1.0,0.0,1.0,0.96,0.04411764705882353,1.0,0.0,0.0,2018.1
152666,7902,0.3977451653529423,1.0,0.5,0.97,0.96,0.04411764705882353,1.0,0.0,0.0,2018.1
152667,7902,0.3977451653529423,1.0,1.0,0.9,0.96,0.04411764705882353,1.0,0.0,0.0,2018.1
152668,7902,0.7224068569869703,1.0,0.0,0.8,0.74,0.2647058823529412,1.0,0.0,0.0,2018.1
152669,7902,0.7224068569869703,1.0,0.5,0.86,0.74,0.2647058823529412,1.0,0.0,0.0,2018.1
152670,7902,0.7224068569869703,1.0,1.0,0.5599999999999999,0.74,0.2647058823529412,1.0,0.0,0.0,2018.1
325705,13437,0.10999164037047547,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325706,13437,0.10999164037047547,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325707,13437,0.10999164037047547,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325708,13437,0.5363361671827989,0.1111111111111111,0.0,0.9,0.89,0.0,1.0,0.0,0.0,2018.1
325709,13437,0.5363361671827989,0.1111111111111111,0.5,0.8300000000000001,0.89,0.0,1.0,0.0,0.0,2018.1
