,discente,unidade,nota,media_final,aprovado,reposicao,reprovadoporfalta,numero_total_faltas,descricao,nivel_ensino,id_turma,id_curso,codigo,disciplina,docente,semestre,excluido
205951,32daafffbc274ee74e2c8ea9f9b792a6,1,1.4,2.0,False,False,False,16,REPROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205952,32daafffbc274ee74e2c8ea9f9b792a6,2,4.5,2.0,False,False,False,16,REPROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205953,32daafffbc274ee74e2c8ea9f9b792a6,3,0.0,2.0,False,False,False,16,REPROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205957,7f41fc087373a467c6f21abfa314ca62,1,4.3,5.0,True,False,False,6,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205958,7f41fc087373a467c6f21abfa314ca62,2,6.0,5.0,True,False,False,6,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205959,7f41fc087373a467c6f21abfa314ca62,3,4.8,5.0,True,False,False,6,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205960,e2c0aa5ebc903e2308dbef6afa8e94d4,1,0.7,0.7,False,False,False,6,REPROVADO,GRADUAÇÃO,38285,33933,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205961,e2c0aa5ebc903e2308dbef6afa8e94d4,2,1.5,0.7,False,False,False,6,REPROVADO,GRADUAÇÃO,38285,33933,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205962,e2c0aa5ebc903e2308dbef6afa8e94d4,3,0.0,0.7,False,False,False,6,REPROVADO,GRADUAÇÃO,38285,33933,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205966,04180c1a85cc118e095e6e996876488a,1,2.9,1.5,False,False,False,6,REPROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205967,04180c1a85cc118e095e6e996876488a,2,1.5,1.5,False,False,False,6,REPROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205968,04180c1a85cc118e095e6e996876488a,3,0.0,1.5,False,False,False,6,REPROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205972,62300dff419dc6c4c72fb8b34dc68b24,1,4.9,7.0,True,False,False,0,APROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205973,62300dff419dc6c4c72fb8b34dc68b24,2,9.0,7.0,True,False,False,0,APROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205974,62300dff419dc6c4c72fb8b34dc68b24,3,7.0,7.0,True,False,False,0,APROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205981,a5020806aaa59d0d2b358191b77131f7,1,4.3,1.4,False,False,False,12,REPROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205982,a5020806aaa59d0d2b358191b77131f7,2,0.0,1.4,False,False,False,12,REPROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205983,a5020806aaa59d0d2b358191b77131f7,3,0.0,1.4,False,False,False,12,REPROVADO,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205984,c23e1102dbcae83c2a965a48a1263dd9,1,5.0,5.6,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205985,c23e1102dbcae83c2a965a48a1263dd9,2,7.5,5.6,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205986,c23e1102dbcae83c2a965a48a1263dd9,3,4.2,5.6,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
